icao_airl_code,perf_type,deviation_code,mel_dx_remark,mel_ofp_remark,p_tow,p_enrte_wt,p_lw,p_tcap,unit_weight,p_perf_corr,p_altitude,unit_vertical,p_speed_knots,p_speed_mach,unit_speed,p_etops_circles,unit_etops_circles,p_etops_critfuel_dc,p_etops_critfuel_dx,item_10a,item10_b,item18_rnav,item18_rnp,tcas,fms,landing_ep,ats_service_type,other_eq,auto_land_down,ils_down,aos_action,gls_down,rnp_precision_down,aime,eff_from,eff_till,action
HVN,87967,21-31-01B,"FLIGHT IS CONDUCTED UNPRESSURIZED. *LIMIT ENROUTE ALTITUDE TO 10,000 FEET*",AUTOMATIC CABIN PRESSURE CONTROL CHANNELS. ,0,0,0,0,KG,0,100,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,21-32-02,"FLIGHT IS CONDUCTED UNPRESSURIZED. *LIMIT ENROUTE ALTITUDE TO 10,000 FEET*",NEGATIVE PRESSURE RELIEF VALVE. ,0,0,0,0,KG,0,100,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,21-52-01-01-01X1,*FOR ASSOCIATED PCU INOPERATIVE REDUCE ENROUTE CLIMB LIMIT WEIGHT BY 800 LB (363 KG)*EDTO IS NOT CONDUCTED.*,AIR CONDITIONING PACKS / AIRPLANES WITHOUT OFCR AND OFAR INSTALLED / 787-9. ,0,363,0,0,KG,0,0,FF,0,0,KT,60,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,21-52-01-01-01X2,*EDTO IS NOT CONDUCTED.*,AIR CONDITIONING PACKS / AIRPLANES WITHOUT OFCR AND OFAR INSTALLED / 787-9. ,0,0,0,0,KG,0,0,FF,0,0,KT,60,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,21-52-07,*EDTO IS NOT CONDUCTED.*,PACK OUTLET TEMPERATURE SENSOR SYSTEMS. ,0,0,0,0,KG,0,0,FF,0,0,KT,60,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,21-52-10,*REDUCE ENROUTE CLIMB LIMIT WEIGHT BY 100 LB (45 KG)*,RAM AIR INLET DOOR SYSTEMS. ,0,45,0,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87975,21-52-11A,"*REDUCE ENROUTE CLIMB LIMIT WEIGHT BY 1,300 LB (590 KG)*AIRPLANE REMAINS AT OR BELOW FL 350.*EDTO IS NOT CONDUCTED.*INCREASE FLIGHT PLANNING FUEL BY 0.5%.",RAM AIR OUTLET DOOR SYSTEMS/ DOOR CAN BE LOCKED IN FIXED POSITION ,0,590,0,0,KG,0.5,350,FF,0,0,KT,60,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87975,21-52-11B,"*REDUCE ENROUTE CLIMB LIMIT WEIGHT BY 1,300 LB (590 KG)*AIRPLANE REMAINS AT OR BELOW FL 350.*EDTO IS NOT CONDUCTED. MANUALY ENSURE: INCREASE FLIGHT PLANNING FUEL BY 0.5%.",RAM AIR OUTLET DOOR SYSTEMS/ DOOR CANNOT BE LOCKED IN FIXED POSITION ,0,590,0,0,KG,0.5,350,FF,0,0,KT,60,MN,0,0,,,,,,,,,,,,a,,,,,,INSERT
HVN,87967,21-61-01,*EDTO IS NOT CONDUCTED.*,FLIGHT DECK ZONE TRIM VALVES. ,0,0,0,0,KG,0,0,FF,0,0,KT,60,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,21-61-02,*EDTO IS NOT CONDUCTED.*,FLIGHT DECK ZONE DUCT TEMPERATURE SENSOR SYSTEMS. ,0,0,0,0,KG,0,0,FF,0,0,KT,60,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
