R001 | ColA:Mã jira | ColB:Module | ColC:Chức năng | ColD:Feature | ColE:Type
R002 | ColA: | ColB:System Admin | ColC:User | ColD:Danh sách người dùng | ColE:New
R003 | ColA: | ColB: | ColC:User | ColD:Job đồng bộ danh sách người dùng LDAP | ColE:New
R004 | ColA: | ColB: | ColC:User | ColD:Kết xuất danh sách | ColE:New
R005 | ColA: | ColB: | ColC:User | ColD:Thêm người dùng Local | ColE:New
R006 | ColA: | ColB: | ColC:User | ColD:Thêm người dùng LDap | ColE:New
R007 | ColA: | ColB: | ColC:User | ColD:Xem chi tiết thông tin người dùng | ColE:New
R008 | ColA: | ColB: | ColC:User | ColD:Xem chi tiết phân quyền người dùng | ColE:New
R009 | ColA: | ColB: | ColC:User | ColD:Sửa người dùng LDap | ColE:New
R010 | ColA: | ColB: | ColC:User | ColD:Sửa người dùng Local | ColE:New
R011 | ColA: | ColB: | ColC:User | ColD:Thêm role cho người dùng | ColE:New
R012 | ColA: | ColB: | ColC:User | ColD:Bật/tắt trạng thái người dùng | ColE:New
R013 | ColA: | ColB: | ColC:User | ColD:Xóa người dùng | ColE:New
R014 | ColA: | ColB: | ColC:User | ColD:Lấy lại mật khẩu người dùng Local | ColE:New
R015 | ColA: | ColB: | ColC:User | ColD:Xem Lịch sử cập nhật người dùng (Update) | ColE:New
R016 | ColA: | ColB: | ColC:User | ColD:Xem Lịch sử truy cập người dùng (Access) | ColE:New
R017 | ColA: | ColB: | ColC:User | ColD:Phân quyền | ColE:New
R018 | ColA: | ColB:System Admin | ColC:Roles | ColD:Danh sách vai trò | ColE:New
R019 | ColA: | ColB: | ColC:Roles | ColD:Thêm vai trò | ColE:New
R020 | ColA: | ColB: | ColC:Roles | ColD:Thêm quyền chức năng cho vai trò | ColE:New
R021 | ColA: | ColB: | ColC:Roles | ColD:Xem vai trò | ColE:New
R022 | ColA: | ColB: | ColC:Roles | ColD:Xem vai trò/ Tab user list | ColE:New
R023 | ColA: | ColB: | ColC:Roles | ColD:Sửa vai trò | ColE:New
R024 | ColA: | ColB: | ColC:Roles | ColD:Xóa vai trò | ColE:New
R025 | ColA: | ColB: | ColC:Roles | ColD:Khôi phục vai trò | ColE:New
R026 | ColA: | ColB: | ColC:Roles | ColD:Bật/tắt hoạt động vai trò | ColE:New
R027 | ColA: | ColB: | ColC:Roles | ColD:Phân quyền | ColE:New
R028 | ColA: | ColB:System Admin | ColC:User Group | ColD:Danh sách nhóm người dùng | ColE:New
R029 | ColA: | ColB: | ColC:User Group | ColD:Thêm mới nhóm người dùng | ColE:New
R030 | ColA: | ColB: | ColC:User Group | ColD:Thêm mới quyền cho nhóm người dùng | ColE:New
R031 | ColA: | ColB: | ColC:User Group | ColD:Hiển thị danh sách quyền | ColE:New
R032 | ColA: | ColB: | ColC:User Group | ColD:Sửa nhóm người dùng | ColE:New
R033 | ColA: | ColB: | ColC:User Group | ColD:Hiển thị danh sách quyền hệ thống | ColE:New
R034 | ColA: | ColB: | ColC:User Group | ColD:Xóa nhóm người dùng | ColE:New
R035 | ColA: | ColB: | ColC:User Group | ColD:Xem chi tiết nhóm người dùng | ColE:New
R036 | ColA: | ColB: | ColC:User Group | ColD:Xem chi tiết danh sách người dùng cho nhóm người dùng | ColE:New
R037 | ColA: | ColB: | ColC:User Group | ColD:Xem chi tiết quyền của nhóm người dùng | ColE:New
R038 | ColA: | ColB: | ColC:User Group | ColD:Kết xuất danh sách | ColE:New
R039 | ColA: | ColB: | ColC:User Group | ColD:Xem lịch sử cập nhật nhóm người dùng | ColE:New
R040 | ColA: | ColB: | ColC:User Group | ColD:Phân quyền | ColE:New
R041 | ColA: | ColB:Data Maintenance | ColC:Country Category | ColD:Xem danh sách quốc gia | ColE:New
R042 | ColA: | ColB: | ColC:Country Category | ColD:Xem chi tiết quốc gia | ColE:New
R043 | ColA: | ColB: | ColC:Country Category | ColD:Tìm kiếm quốc gia | ColE:New
R044 | ColA: | ColB: | ColC:Country Category | ColD:Tạo mới quốc gia | ColE:New
R045 | ColA: | ColB: | ColC:Country Category | ColD:Cập nhật quốc gia | ColE:New
R046 | ColA: | ColB: | ColC:Country Category | ColD:Xóa  quốc gia | ColE:New
R047 | ColA: | ColB: | ColC:Country Category | ColD:Kết xuất  quốc gia | ColE:New
R048 | ColA: | ColB: | ColC:Country Category | ColD:Phân quyền | ColE:New
R049 | ColA: | ColB: | ColC:FIR Category | ColD:Danh sách FIR | ColE:New
R050 | ColA: | ColB: | ColC:FIR Category | ColD:Tìm kiếm FIR | ColE:New
R051 | ColA: | ColB: | ColC:FIR Category | ColD:Kết xuất FIR | ColE:New
R052 | ColA: | ColB: | ColC:FIR Category | ColD:Thêm mới FIR | ColE:New
R053 | ColA: | ColB: | ColC:FIR Category | ColD:Sửa FIR | ColE:New
R054 | ColA: | ColB: | ColC:FIR Category | ColD:Xóa FIR | ColE:New
R055 | ColA: | ColB: | ColC:FIR Category | ColD:Xem chi tiết FIR | ColE:New
R056 | ColA: | ColB: | ColC:FIR Category | ColD:Phân quyền | ColE:New
R057 | ColA: | ColB:Data Maintenance | ColC:Carrier | ColD:Danh sách carrier | ColE:New
R058 | ColA: | ColB: | ColC:Carrier | ColD:Tìm kiếm carrier | ColE:New
R059 | ColA: | ColB: | ColC:Carrier | ColD:Thêm mới carrier | ColE:New
R060 | ColA: | ColB: | ColC:Carrier | ColD:Sửa carrier | ColE:New
R061 | ColA: | ColB: | ColC:Carrier | ColD:Xóa carrier | ColE:New
R062 | ColA: | ColB: | ColC:Carrier | ColD:Xem chi tiết carrier | ColE:New
R063 | ColA: | ColB: | ColC:Carrier | ColD:Xem lịch sử | ColE:New
R064 | ColA: | ColB: | ColC:Carrier | ColD:Phân quyền  | ColE:New
R065 | ColA: | ColB:Data Maintenance | ColC:Pilot Category | ColD:Danh sách phi công | ColE:New
R066 | ColA: | ColB: | ColC:Pilot Category | ColD:Xuất danh sách phi công | ColE:New
R067 | ColA: | ColB: | ColC:Pilot Category | ColD:Xem chi tiết phi công | ColE:New
R068 | ColA: | ColB: | ColC:Pilot Category | ColD:Sửa thông tin phi công | ColE:New
R069 | ColA: | ColB: | ColC:Pilot Category | ColD:API Đồng bộ danh sách phi công AVES | ColE:New
R070 | ColA: | ColB: | ColC:Pilot Category | ColD:API Đồng bộ thông tin phi công AVES | ColE:New
R071 | ColA: | ColB: | ColC:Pilot Category | ColD:API lịch bay phi công | ColE:New
R072 | ColA: | ColB: | ColC:Pilot Category | ColD:API Kiểm tra trạng thái đồng bộ dữ liệu AVES | ColE:New
R073 | ColA: | ColB: | ColC:Pilot Category | ColD:API Tra cứu lịch sử đồng bộ dữ liệu AVES | ColE:New
R074 | ColA: | ColB: | ColC:Pilot Category | ColD:Xem thông tin Flight Itineraries phi công | ColE:New
R075 | ColA: | ColB: | ColC:Pilot Category | ColD:Xem lịch sử phi công | ColE:New
R076 | ColA: | ColB: | ColC:Pilot Category | ColD:Phân quyền  | ColE:New
R077 | ColA: | ColB:Data Maintenance | ColC:Cabin crew Category | ColD:chưa có history | ColE:New
R078 | ColA: | ColB: | ColC:Cabin crew Category | ColD:Danh sách tiếp viên | ColE:New
R079 | ColA: | ColB: | ColC:Cabin crew Category | ColD:Xuất danh sách tiếp viên | ColE:New
R080 | ColA: | ColB: | ColC:Cabin crew Category | ColD:Tìm kiếm tiếp viên | ColE:New
R081 | ColA: | ColB: | ColC:Cabin crew Category | ColD:Xem chi tiết tiếp viên | ColE:New
R082 | ColA: | ColB: | ColC:Cabin crew Category | ColD:Sửa thông tin tiếp viên | ColE:New
R083 | ColA: | ColB: | ColC:Cabin crew Category | ColD:API Đồng bộ danh sách TV AVES | ColE:New
R084 | ColA: | ColB: | ColC:Cabin crew Category | ColD:API Đồng bộ thông tin TV AVES | ColE:New
R085 | ColA: | ColB: | ColC:Cabin crew Category | ColD:API lịch bay TV  | ColE:New
R086 | ColA: | ColB: | ColC:Cabin crew Category | ColD:API Kiểm tra trạng thái đồng bộ dữ liệu AVES | ColE:New
R087 | ColA: | ColB: | ColC:Cabin crew Category | ColD:API Tra cứu lịch sử đồng bộ dữ liệu AVES | ColE:New
R088 | ColA: | ColB: | ColC:Cabin crew Category | ColD:Xem thông tin Flight Itineraries tiếp viên | ColE:New
R089 | ColA: | ColB: | ColC:Cabin crew Category | ColD:Xem lịch sử tiếp viên | ColE:New
R090 | ColA: | ColB: | ColC:Cabin crew Category | ColD:Phân quyền  | ColE:New
