R001 | Mod(B): Module                 | Func(C): Chức năng                    | Feat(D): Feature                                       | E: Type     | F: Priority
R002 | Mod(B): System Admin           | Func(C): User                         | Feat(D): Danh sách người dùng                          | E: New      | F: 1.0
R003 | Mod(B):                        | Func(C): User                         | Feat(D): Job đồng bộ danh sách người dùng LDAP         | E: New      | F: 1.0
R004 | Mod(B):                        | Func(C): User                         | Feat(D): Kết xuất danh sách                            | E: New      | F: 1.0
R005 | Mod(B):                        | Func(C): User                         | Feat(D): Thêm người dùng Local                         | E: New      | F: 1.0
R006 | Mod(B):                        | Func(C): User                         | Feat(D): Thêm người dùng LDap                          | E: New      | F: 1.0
R007 | Mod(B):                        | Func(C): User                         | Feat(D): Xem chi tiết thông tin người dùng             | E: New      | F: 1.0
R008 | Mod(B):                        | Func(C): User                         | Feat(D): Xem chi tiết phân quyền người dùng            | E: New      | F: 1.0
R009 | Mod(B):                        | Func(C): User                         | Feat(D): Sửa người dùng LDap                           | E: New      | F: 1.0
R010 | Mod(B):                        | Func(C): User                         | Feat(D): Sửa người dùng Local                          | E: New      | F: 1.0
R011 | Mod(B):                        | Func(C): User                         | Feat(D): Thêm role cho người dùng                      | E: New      | F: 1.0
R012 | Mod(B):                        | Func(C): User                         | Feat(D): Bật/tắt trạng thái người dùng                 | E: New      | F: 1.0
R013 | Mod(B):                        | Func(C): User                         | Feat(D): Xóa người dùng                                | E: New      | F: 1.0
R014 | Mod(B):                        | Func(C): User                         | Feat(D): Lấy lại mật khẩu người dùng Local             | E: New      | F: 1.0
R015 | Mod(B):                        | Func(C): User                         | Feat(D): Xem Lịch sử cập nhật người dùng (Update)      | E: New      | F: 1.0
R016 | Mod(B):                        | Func(C): User                         | Feat(D): Xem Lịch sử truy cập người dùng (Access)      | E: New      | F: 1.0
R017 | Mod(B):                        | Func(C): User                         | Feat(D): Phân quyền                                    | E: New      | F: 1.0
R018 | Mod(B): System Admin           | Func(C): Roles                        | Feat(D): Danh sách vai trò                             | E: New      | F: 1.0
R019 | Mod(B):                        | Func(C): Roles                        | Feat(D): Thêm vai trò                                  | E: New      | F: 1.0
R020 | Mod(B):                        | Func(C): Roles                        | Feat(D): Thêm quyền chức năng cho vai trò              | E: New      | F: 1.0
R021 | Mod(B):                        | Func(C): Roles                        | Feat(D): Xem vai trò                                   | E: New      | F: 1.0
R022 | Mod(B):                        | Func(C): Roles                        | Feat(D): Xem vai trò/ Tab user list                    | E: New      | F: 1.0
R023 | Mod(B):                        | Func(C): Roles                        | Feat(D): Sửa vai trò                                   | E: New      | F: 1.0
R024 | Mod(B):                        | Func(C): Roles                        | Feat(D): Xóa vai trò                                   | E: New      | F: 1.0
R025 | Mod(B):                        | Func(C): Roles                        | Feat(D): Khôi phục vai trò                             | E: New      | F: 1.0
R026 | Mod(B):                        | Func(C): Roles                        | Feat(D): Bật/tắt hoạt động vai trò                     | E: New      | F: 1.0
R027 | Mod(B):                        | Func(C): Roles                        | Feat(D): Phân quyền                                    | E: New      | F: 1.0
R028 | Mod(B): System Admin           | Func(C): User Group                   | Feat(D): Danh sách nhóm người dùng                     | E: New      | F: 1.0
R029 | Mod(B):                        | Func(C): User Group                   | Feat(D): Thêm mới nhóm người dùng                      | E: New      | F: 1.0
R030 | Mod(B):                        | Func(C): User Group                   | Feat(D): Thêm mới quyền cho nhóm người dùng            | E: New      | F: 1.0
R031 | Mod(B):                        | Func(C): User Group                   | Feat(D): Hiển thị danh sách quyền                      | E: New      | F: 1.0
R032 | Mod(B):                        | Func(C): User Group                   | Feat(D): Sửa nhóm người dùng                           | E: New      | F: 1.0
R033 | Mod(B):                        | Func(C): User Group                   | Feat(D): Hiển thị danh sách quyền hệ thống             | E: New      | F: 1.0
R034 | Mod(B):                        | Func(C): User Group                   | Feat(D): Xóa nhóm người dùng                           | E: New      | F: 1.0
R035 | Mod(B):                        | Func(C): User Group                   | Feat(D): Xem chi tiết nhóm người dùng                  | E: New      | F: 1.0
R036 | Mod(B):                        | Func(C): User Group                   | Feat(D): Xem chi tiết danh sách người dùng cho nhóm người dùng | E: New      | F: 1.0
R037 | Mod(B):                        | Func(C): User Group                   | Feat(D): Xem chi tiết quyền của nhóm người dùng        | E: New      | F: 1.0
R038 | Mod(B):                        | Func(C): User Group                   | Feat(D): Kết xuất danh sách                            | E: New      | F: 1.0
R039 | Mod(B):                        | Func(C): User Group                   | Feat(D): Xem lịch sử cập nhật nhóm người dùng          | E: New      | F: 1.0
R040 | Mod(B):                        | Func(C): User Group                   | Feat(D): Phân quyền                                    | E: New      | F: 1.0
R041 | Mod(B): Data Maintenance       | Func(C): Country Category             | Feat(D): Xem danh sách quốc gia                        | E: New      | F: 
R042 | Mod(B):                        | Func(C): Country Category             | Feat(D): Xem chi tiết quốc gia                         | E: New      | F: 
R043 | Mod(B):                        | Func(C): Country Category             | Feat(D): Tìm kiếm quốc gia                             | E: New      | F: 
R044 | Mod(B):                        | Func(C): Country Category             | Feat(D): Tạo mới quốc gia                              | E: New      | F: 
R045 | Mod(B):                        | Func(C): Country Category             | Feat(D): Cập nhật quốc gia                             | E: New      | F: 
R046 | Mod(B):                        | Func(C): Country Category             | Feat(D): Xóa  quốc gia                                 | E: New      | F: 
R047 | Mod(B):                        | Func(C): Country Category             | Feat(D): Kết xuất  quốc gia                            | E: New      | F: 
R048 | Mod(B):                        | Func(C): Country Category             | Feat(D): Phân quyền                                    | E: New      | F: 
R049 | Mod(B):                        | Func(C): FIR Category                 | Feat(D): Danh sách FIR                                 | E: New      | F: 
R050 | Mod(B):                        | Func(C): FIR Category                 | Feat(D): Tìm kiếm FIR                                  | E: New      | F: 
R051 | Mod(B):                        | Func(C): FIR Category                 | Feat(D): Kết xuất FIR                                  | E: New      | F: 
R052 | Mod(B):                        | Func(C): FIR Category                 | Feat(D): Thêm mới FIR                                  | E: New      | F: 
R053 | Mod(B):                        | Func(C): FIR Category                 | Feat(D): Sửa FIR                                       | E: New      | F: 
R054 | Mod(B):                        | Func(C): FIR Category                 | Feat(D): Xóa FIR                                       | E: New      | F: 
R055 | Mod(B):                        | Func(C): FIR Category                 | Feat(D): Xem chi tiết FIR                              | E: New      | F: 
R056 | Mod(B):                        | Func(C): FIR Category                 | Feat(D): Phân quyền                                    | E: New      | F: 
R057 | Mod(B): Data Maintenance       | Func(C): Carrier                      | Feat(D): Danh sách carrier                             | E: New      | F: 
R058 | Mod(B):                        | Func(C): Carrier                      | Feat(D): Tìm kiếm carrier                              | E: New      | F: 
R059 | Mod(B):                        | Func(C): Carrier                      | Feat(D): Thêm mới carrier                              | E: New      | F: 
R060 | Mod(B):                        | Func(C): Carrier                      | Feat(D): Sửa carrier                                   | E: New      | F: 
R061 | Mod(B):                        | Func(C): Carrier                      | Feat(D): Xóa carrier                                   | E: New      | F: 
R062 | Mod(B):                        | Func(C): Carrier                      | Feat(D): Xem chi tiết carrier                          | E: New      | F: 
R063 | Mod(B):                        | Func(C): Carrier                      | Feat(D): Xem lịch sử                                   | E: New      | F: 
R064 | Mod(B):                        | Func(C): Carrier                      | Feat(D): Phân quyền                                    | E: New      | F: 
R065 | Mod(B): Data Maintenance       | Func(C): Pilot Category               | Feat(D): Danh sách phi công                            | E: New      | F: 
R066 | Mod(B):                        | Func(C): Pilot Category               | Feat(D): Xuất danh sách phi công                       | E: New      | F: 
R067 | Mod(B):                        | Func(C): Pilot Category               | Feat(D): Xem chi tiết phi công                         | E: New      | F: 
R068 | Mod(B):                        | Func(C): Pilot Category               | Feat(D): Sửa thông tin phi công                        | E: New      | F: 
R069 | Mod(B):                        | Func(C): Pilot Category               | Feat(D): API Đồng bộ danh sách phi công AVES           | E: New      | F: 
R070 | Mod(B):                        | Func(C): Pilot Category               | Feat(D): API Đồng bộ thông tin phi công AVES           | E: New      | F: 
R071 | Mod(B):                        | Func(C): Pilot Category               | Feat(D): API lịch bay phi công                         | E: New      | F: 
R072 | Mod(B):                        | Func(C): Pilot Category               | Feat(D): API Kiểm tra trạng thái đồng bộ dữ liệu AVES  | E: New      | F: 
R073 | Mod(B):                        | Func(C): Pilot Category               | Feat(D): API Tra cứu lịch sử đồng bộ dữ liệu AVES      | E: New      | F: 
R074 | Mod(B):                        | Func(C): Pilot Category               | Feat(D): Xem thông tin Flight Itineraries phi công     | E: New      | F: 
R075 | Mod(B):                        | Func(C): Pilot Category               | Feat(D): Xem lịch sử phi công                          | E: New      | F: 
R076 | Mod(B):                        | Func(C): Pilot Category               | Feat(D): Phân quyền                                    | E: New      | F: 
R077 | Mod(B): Data Maintenance       | Func(C): Cabin crew Category          | Feat(D): chưa có history                               | E: New      | F: 
R078 | Mod(B):                        | Func(C): Cabin crew Category          | Feat(D): Danh sách tiếp viên                           | E: New      | F: 
R079 | Mod(B):                        | Func(C): Cabin crew Category          | Feat(D): Xuất danh sách tiếp viên                      | E: New      | F: 
R080 | Mod(B):                        | Func(C): Cabin crew Category          | Feat(D): Tìm kiếm tiếp viên                            | E: New      | F: 
R081 | Mod(B):                        | Func(C): Cabin crew Category          | Feat(D): Xem chi tiết tiếp viên                        | E: New      | F: 
R082 | Mod(B):                        | Func(C): Cabin crew Category          | Feat(D): Sửa thông tin tiếp viên                       | E: New      | F: 
R083 | Mod(B):                        | Func(C): Cabin crew Category          | Feat(D): API Đồng bộ danh sách TV AVES                 | E: New      | F: 
R084 | Mod(B):                        | Func(C): Cabin crew Category          | Feat(D): API Đồng bộ thông tin TV AVES                 | E: New      | F: 
R085 | Mod(B):                        | Func(C): Cabin crew Category          | Feat(D): API lịch bay TV                               | E: New      | F: 
R086 | Mod(B):                        | Func(C): Cabin crew Category          | Feat(D): API Kiểm tra trạng thái đồng bộ dữ liệu AVES  | E: New      | F: 
R087 | Mod(B):                        | Func(C): Cabin crew Category          | Feat(D): API Tra cứu lịch sử đồng bộ dữ liệu AVES      | E: New      | F: 
R088 | Mod(B):                        | Func(C): Cabin crew Category          | Feat(D): Xem thông tin Flight Itineraries tiếp viên    | E: New      | F: 
R089 | Mod(B):                        | Func(C): Cabin crew Category          | Feat(D): Xem lịch sử tiếp viên                         | E: New      | F: 
R090 | Mod(B):                        | Func(C): Cabin crew Category          | Feat(D): Phân quyền                                    | E: New      | F: 
R091 | Mod(B): Data Maintenance       | Func(C): ULD Category(Type)           | Feat(D): Xem danh sách loại ULD                        | E: New      | F: 
R092 | Mod(B):                        | Func(C): ULD Category(Type)           | Feat(D): Thêm mới loại ULD                             | E: New      | F: 
R093 | Mod(B):                        | Func(C): ULD Category(Type)           | Feat(D): Sửa loại ULD                                  | E: New      | F: 
