Row   1 | A=Mã jira | B=Module | C=Chức năng | D=Feature | E=Type | F=Priority | G=Function list
Row   2 | A= | B=System Admin | C=User | D=Danh sách người dùng | E=New | F=1.0 | G=
Row   3 | A= | B= | C=User | D=Job đồng bộ danh sách người dùng LDAP | E=New | F=1.0 | G=
Row   4 | A= | B= | C=User | D=Kết xuất danh sách | E=New | F=1.0 | G=
Row   5 | A= | B= | C=User | D=Thêm người dùng Local | E=New | F=1.0 | G=
Row   6 | A= | B= | C=User | D=Thêm người dùng LDap | E=New | F=1.0 | G=
Row   7 | A= | B= | C=User | D=Xem chi tiết thông tin người dùng | E=New | F=1.0 | G=
Row   8 | A= | B= | C=User | D=Xem chi tiết phân quyền người dùng | E=New | F=1.0 | G=
Row   9 | A= | B= | C=User | D=Sửa người dùng LDap | E=New | F=1.0 | G=
Row  10 | A= | B= | C=User | D=Sửa người dùng Local | E=New | F=1.0 | G=
Row  11 | A= | B= | C=User | D=Thêm role cho người dùng | E=New | F=1.0 | G=
Row  12 | A= | B= | C=User | D=Bật/tắt trạng thái người dùng | E=New | F=1.0 | G=
Row  13 | A= | B= | C=User | D=Xóa người dùng | E=New | F=1.0 | G=
Row  14 | A= | B= | C=User | D=Lấy lại mật khẩu người dùng Local | E=New | F=1.0 | G=
Row  15 | A= | B= | C=User | D=Xem Lịch sử cập nhật người dùng (Update) | E=New | F=1.0 | G=
Row  16 | A= | B= | C=User | D=Xem Lịch sử truy cập người dùng (Access) | E=New | F=1.0 | G=
Row  17 | A= | B= | C=User | D=Phân quyền | E=New | F=1.0 | G=
Row  18 | A= | B=System Admin | C=Roles | D=Danh sách vai trò | E=New | F=1.0 | G=
Row  19 | A= | B= | C=Roles | D=Thêm vai trò | E=New | F=1.0 | G=
Row  20 | A= | B= | C=Roles | D=Thêm quyền chức năng cho vai trò | E=New | F=1.0 | G=
Row  21 | A= | B= | C=Roles | D=Xem vai trò | E=New | F=1.0 | G=
Row  22 | A= | B= | C=Roles | D=Xem vai trò/ Tab user list | E=New | F=1.0 | G=
Row  23 | A= | B= | C=Roles | D=Sửa vai trò | E=New | F=1.0 | G=
Row  24 | A= | B= | C=Roles | D=Xóa vai trò | E=New | F=1.0 | G=
Row  25 | A= | B= | C=Roles | D=Khôi phục vai trò | E=New | F=1.0 | G=
Row  26 | A= | B= | C=Roles | D=Bật/tắt hoạt động vai trò | E=New | F=1.0 | G=
Row  27 | A= | B= | C=Roles | D=Phân quyền | E=New | F=1.0 | G=
Row  28 | A= | B=System Admin | C=User Group | D=Danh sách nhóm người dùng | E=New | F=1.0 | G=
